symptomes,disease
Abdominal Pain,Asthma
Abdominal Pain,Cluster headaches
Abdominal Pain,Teeth grinding
Abdominal Pain,Acute viral sinusitis
Abdominal Pain,Bone infection
Abdominal Pain,Anxiety disorder
Abdominal Pain,Colitis ulcerosa
Abdominal Pain,Infective endocarditis
Abdominal Pain,Exanthematic typhus
Abdominal Pain,Reactive arthritis
Abdominal Pain,Severe allergic reaction
Abdominal Pain,Cardiac fainting
Abdominal Pain,Allergic conjunctivitis
Abdominal Pain,Atypical pneumonia
Abdominal Pain,Dehydration
Abdominal Pain,Acoustic neuroma
Abdominal Pain,Pyelonephritis
Abdominal Pain,Food poisoning
Abdominal Pain,Chronic obstructive pulmonary disease
Abdominal Pain,Asthma exacerbation
Abdominal Pain,Cauda equina syndrome
Abdominal Pain,Migraine
Abdominal Pain,Clostridium difficile-associated disease
Abdominal Pain,Neck strain
Abdominal Pain,Severe hypoglycemia
Abdominal Pain,Mononucleosis
Abdominal Pain,Chronic kidney disease
Abdominal Pain,Corneal ulceration
Abdominal Pain,Leptospirosis
Abdominal Pain,Hip bursitis
Abdominal Pain,Hay fever
Abdominal Pain,Threatened miscarriage
Abdominal Pain,Pulmonary embolism
Abdominal Pain,Vertebrobasilar insufficiency
Abdominal Pain,Dislocated ankle
Abdominal Pain,Dementia
Abdominal Pain,Posttraumatic seizures
Abdominal Pain,Burn
Abdominal Pain,Gastritis
Abdominal Pain,Bladder infection
Abdominal Pain,Placenta previa
Abdominal Pain,Acute streptococcal pharyngitis
Abdominal Pain,Broken thoracic spine
Abdominal Pain,Major wound
Abdominal Pain,Diabetic kidney disease
Abdominal Pain,Inflammation of the gallbladder
Abdominal Pain,Hemorrhagic stroke
Abdominal Pain,Depression
Abdominal Pain,Acute bronchitis
Abdominal Pain,Temporomandibular joint disorders
Abdominal Pain,Indigestion
Abdominal Pain,Chronic sinusitis
Abdominal Pain,Cataract
Abdominal Pain,Age-related hearing loss
Abdominal Pain,Labour
Abdominal Pain,Mild hypoglycemia
Abdominal Pain,Familial nonhemolytic jaundice
Abdominal Pain,Broken calf bones
Abdominal Pain,Inflammation of the inner ear
Abdominal Pain,Diabetes mellitus type 1
Abdominal Pain,Bacterial gastroenteritis
Abdominal Pain,Wound separation
Abdominal Pain,Colon cancer
Abdominal Pain,Sciatica
Abdominal Pain,Knee osteoarthritis
Abdominal Pain,Crohn's disease flare-up
Abdominal Pain,Benign paroxysmal positional vertigo
Abdominal Pain,Encephalitis
Abdominal Pain,Irritable bowel syndrome
Abdominal Pain,Dislocated knee
Abdominal Pain,Pulmonary tuberculosis
Abdominal Pain,Broken rib
Abdominal Pain,Uveitis
Abdominal Pain,Quinsy
Abdominal Pain,Antibiotic associated diarrhea
Abdominal Pain,Prostatitis
Abdominal Pain,Common cold
Abdominal Pain,COVID-19
Abdominal Pain,Q fever
Abdominal Pain,Acute HIV infection
Abdominal Pain,Broken collarbone
Abdominal Pain,Diabetic ketoacidosis
Abdominal Pain,Pneumonia
Abdominal Pain,Viral gastroenteritis
Abdominal Pain,Pulmonary edema
Abdominal Pain,Diabetic retinopathy
Abdominal Pain,Heart attack
Abdominal Pain,Electrical injury
Abdominal Pain,Transient ischemic attack
Anxiety,M ni re's disease
Anxiety,Pulmonary edema
Anxiety,Inflammation of the pulp
Anxiety,Erythema nodosum
Anxiety,Asthma
Anxiety,Prerenal acute renal failure
Anxiety,Broken forearm
Anxiety,Pre-eclampsia
Anxiety,Hay fever
Anxiety,Lipoma
Anxiety,Degenerative arthritis of the spine
Anxiety,Hemorrhagic stroke
Anxiety,Depression
Anxiety,Common cold
Anxiety,Benign paroxysmal positional vertigo
Anxiety,Small intestinal bacterial overgrowth
Anxiety,Broken calf bones
Anxiety,Cerebellar stroke
Anxiety,Multiple sclerosis
Anxiety,Burn
Anxiety,Anxiety disorder with panic attacks
Anxiety,Inflammation of heart muscle
Anxiety,Gastritis
Anxiety,Psoriatic arthritis
Anxiety,Chronic sinusitis
Anxiety,Pneumothorax
Anxiety,Addison's disease
Anxiety,Ischemic stroke
Anxiety,Teeth grinding
Anxiety,Diabetic retinopathy
Anxiety,Pancreatic cancer
Anxiety,Food poisoning
Anxiety,Major wound
Anxiety,Typhoid fever
Anxiety,Obstructive jaundice
Anxiety,Anorexia nervosa
Anxiety,Migraine
Anxiety,COVID-19
Anxiety,Pulmonary tuberculosis
Anxiety,High blood pressure
Anxiety,Corneal ulceration
Anxiety,Food allergy
Anxiety,Stable angina pectoris
Anxiety,Shoulder bursitis
Anxiety,Benign prostatic hyperplasia
Anxiety,Viral gastroenteritis
Anxiety,Hand osteoarthritis
Anxiety,Alzheimer's disease
Anxiety,Antiphospholipid syndrome
Anxiety,Heart attack
Anxiety,Whiplash injury
Anxiety,Intercostal neuralgia
Anxiety,Asthma exacerbation
Anxiety,Exanthematic typhus
Anxiety,Chronic heart failure
Anxiety,Acute viral sinusitis
Anxiety,Neck strain
Anxiety,Lactose intolerance
Anxiety,Atypical pneumonia
Anxiety,Polyarteritis nodosa
Anxiety,Antibiotic associated diarrhea
Anxiety,Acute HIV infection
Anxiety,Physical injury of unknown location
Anxiety,Mild hypoglycemia
Anxiety,Knee osteoarthritis
Anxiety,Severe hypoglycemia
Anxiety,Tension-type headaches
Anxiety,Crohn's disease flare-up
Anxiety,Costochondritis
Anxiety,Social anxiety disorder
Anxiety,Acute streptococcal pharyngitis
Anxiety,Broken collarbone
Anxiety,Familial nonhemolytic jaundice
Anxiety,Diabetes mellitus type 2
Anxiety,Indigestion
Anxiety,Severe allergic reaction
Anxiety,Pneumonia
Anxiety,Bacterial gastroenteritis
Anxiety,Irritable bowel syndrome
Anxiety,Celiac disease
Anxiety,Temporomandibular joint disorders
Anxiety,Erythroderma
Anxiety,Chronic obstructive pulmonary disease exacerbation
Anxiety,Premature separation of placenta
Anxiety,Viral meningitis
Anxiety,Runner's knee
Anxiety,Back strain
Anxiety,Chronic obstructive pulmonary disease
Anxiety,Gout
Anxiety,Acute viral pharyngitis
Anxiety,Pink eye
Anxiety,Colon cancer
Anxiety,Pulmonary embolism
Anxiety,Electrical injury
Anxiety,Degenerative disc disease of the lumbar and sacral spine
Anxiety,Ulcerative colitis flare-up
Back pain,Cardiac tamponade
Back pain,Diabetes mellitus type 2
Back pain,COVID-19
Back pain,Posttraumatic seizures
Back pain,Viral gastroenteritis
Back pain,Mild hypoglycemia
Back pain,Severe allergic reaction
Back pain,Inflammation of heart muscle
Back pain,Crohn's disease flare-up
Back pain,Hepatitis C
Back pain,Depression
Back pain,Pulmonary embolism
Back pain,Benign paroxysmal positional vertigo
Back pain,Clostridium difficile-associated disease
Back pain,Familial nonhemolytic jaundice
Back pain,Uveitis
Back pain,Threatened miscarriage
Back pain,Gout
Back pain,Heart attack
Back pain,Intercostal neuralgia
Back pain,Acute heart failure
Back pain,Irritable bowel syndrome
Back pain,Pre-eclampsia
Back pain,Frozen shoulder
Back pain,Knee osteoarthritis
Back pain,Chronic obstructive pulmonary disease
Back pain,Quinsy
Back pain,Chronic constipation
Back pain,Colitis ulcerosa
Back pain,Bacterial meningitis
Back pain,Athlete's foot
Back pain,Sciatica
Back pain,Physical injury of unknown location
Back pain,Keratitis
Back pain,Anxiety disorder with panic attacks
Back pain,Pulmonary hypertension
Back pain,Acute streptococcal pharyngitis
Back pain,Shingles
Back pain,Herbicide poisoning
Back pain,Stable angina pectoris
Back pain,Gastritis
Back pain,Acute viral sinusitis
Back pain,Chronic sinusitis
Back pain,Bacterial gastroenteritis
Back pain,Diverticulitis
Back pain,Prostatitis
Back pain,Age-related hearing loss
Back pain,Lactose intolerance
Back pain,Diabetic retinopathy
Back pain,Ankylosing spondylitis
Back pain,Migraine
Back pain,Cauda equina syndrome
Back pain,Agoraphobia
Back pain,Crotch injury
Back pain,Reflex syncope
Back pain,Sepsis
Back pain,Common cold
Back pain,Pulmonary tuberculosis
Back pain,Acute angle-closure glaucoma
Back pain,Pneumonia
Back pain,Teeth grinding
Back pain,Acute viral pharyngitis
Back pain,Ulcerative colitis flare-up
Back pain,Chronic heart failure
Back pain,Prerenal acute renal failure
Back pain,Asthma
Back pain,Acute upper gastrointestinal bleeding
Back pain,Multiple sclerosis
Back pain,Bladder infection
Back pain,Impetigo
Back pain,Hay fever
Back pain,Costochondritis
Back pain,High blood pressure
Back pain,Severe arrhythmia with fast heart rate
Back pain,Hypertensive crisis
Back pain,Pyelonephritis
Back pain,Facial bruise
Back pain,Epilepsy with loss of consciousness
Back pain,Psoriatic arthritis
Back pain,Pneumocystis jirovecii pneumonia
Back pain,Atypical pneumonia
Belly Pain,Viral gastroenteritis
Belly Pain,Atypical pneumonia
Belly Pain,Back strain
Belly Pain,Pulmonary embolism
Belly Pain,Irritable bowel syndrome
Belly Pain,Diabetic retinopathy
Belly Pain,Keratitis
Belly Pain,Broken hand bones
Belly Pain,Pneumonia
Belly Pain,Food poisoning
Belly Pain,Depression
Belly Pain,Heart attack
Belly Pain,Bacterial gastroenteritis
Belly Pain,Diabetic ketoacidosis
Belly Pain,COVID-19
Belly Pain,Acute viral pharyngitis
Belly Pain,Sleep apnea
Belly Pain,Ulcerative colitis flare-up
Belly Pain,Cluster headaches
Belly Pain,Diabetes mellitus type 2
Belly Pain,Asthma exacerbation
Belly Pain,Severe allergic reaction
Belly Pain,Antibiotic associated diarrhea
Belly Pain,Paroxysmal nocturnal hemoglobinuria
Belly Pain,Chronic obstructive pulmonary disease
Belly Pain,Scratch of cornea
Belly Pain,Sciatica
Belly Pain,Knee osteoarthritis
Belly Pain,Teeth grinding
Belly Pain,Neck strain
Belly Pain,Portal hypertension
Belly Pain,Costochondritis
Belly Pain,Rocky Mountain spotted fever
Belly Pain,Acute streptococcal pharyngitis
Belly Pain,Familial nonhemolytic jaundice
Belly Pain,Broken skull
Belly Pain,Agoraphobia
Belly Pain,Hepatitis C
Belly Pain,Zika virus disease
Belly Pain,Common cold
Belly Pain,Broken rib
Belly Pain,Bacterial meningitis
Belly Pain,Tension-type headaches
Belly Pain,Indigestion
Belly Pain,Open-angle glaucoma
Belly Pain,Gout
Belly Pain,Hemorrhagic stroke
Belly Pain,Physical injury of unknown location
Belly Pain,Asthma
Belly Pain,Ischemic stroke
Belly Pain,Migraine
Belly Pain,Prinzmetal's angina
Belly Pain,Psoriatic arthritis
Belly Pain,Sepsis
Belly Pain,Acute laryngitis
Belly Pain,Colitis ulcerosa
Belly Pain,Thyrotropin releasing pituitary adenoma
Belly Pain,Pneumocystis jirovecii pneumonia
Belly Pain,Acute viral sinusitis
Belly Pain,Pulmonary tuberculosis
Belly Pain,Atrial fibrillation
Belly Pain,Mononucleosis
Belly Pain,Bladder infection
Belly Pain,Kidney stones
Belly Pain,Dengue
Belly Pain,Age-related hearing loss
Belly Pain,Labour
Belly Pain,Acute bronchitis
Belly Pain,Acute bacterial sinusitis
Belly Pain,Mild hypoglycemia
Belly Pain,Acute HIV infection
Belly Pain,Acute angle-closure glaucoma
Belly Pain,Colon cancer
Bloating,Torsion of ovary
Bloating,Common cold
Bloating,Heart attack
Bloating,Asthma exacerbation
Bloating,Acute bacterial sinusitis
Bloating,Food poisoning
Bloating,Gastritis
Bloating,Asthma
Bloating,Crohn's disease flare-up
Bloating,Pulmonary embolism
Bloating,Bacterial gastroenteritis
Bloating,Hay fever
Bloating,Pulmonary tuberculosis
Bloating,Tension-type headaches
Bloating,Cluster headaches
Bloating,Chronic obstructive pulmonary disease
Bloating,Amyloidosis
Bloating,Dehydration
Bloating,Ulcerative colitis flare-up
Bloating,Burn
Bloating,High blood pressure
Bloating,Pulmonary hypertension
Bloating,Severe hypoglycemia
Bloating,Pneumonia
Bloating,Chronic sinusitis
Bloating,Irritable bowel syndrome
Bloating,Severe allergic reaction
Bloating,Colon cancer
Bloating,Migraine
Bloating,Viral gastroenteritis
Bloating,Pertussis
Bloating,Reflex syncope
Bloating,Acute viral sinusitis
Bloating,Nasal polyps
Bloating,Food allergy
Bloating,Benign paroxysmal positional vertigo
Bloating,Atypical pneumonia
Bloating,Lactose intolerance
Bloating,COVID-19
Bloating,Concussion
Bloating,Wound separation
"Bloating,Diarrhea",Severe hypoglycemia
"Bloating,Diarrhea",Asthma exacerbation
"Bloating,Diarrhea",Bacterial gastroenteritis
"Bloating,Diarrhea",Epilepsy with loss of consciousness
"Bloating,Diarrhea",Ulcerative colitis flare-up
"Bloating,Diarrhea",Nasal polyps
"Bloating,Diarrhea",Gastritis
"Bloating,Diarrhea",Acute viral sinusitis
"Bloating,Diarrhea",Brain tumour
"Bloating,Diarrhea",Benign paroxysmal positional vertigo
"Bloating,Diarrhea",Severe allergic reaction
"Bloating,Diarrhea",Chronic obstructive pulmonary disease
"Bloating,Diarrhea",Heart attack
"Bloating,Diarrhea",Nonallergic rhinitis
"Bloating,Diarrhea",Hay fever
"Bloating,Diarrhea",Common cold
"Bloating,Diarrhea",Cardiac fainting
"Bloating,Diarrhea",COVID-19
"Bloating,Diarrhea",Pneumonia
"Bloating,Diarrhea",Irritable bowel syndrome
"Bloating,Diarrhea",Antibiotic associated diarrhea
"Bloating,Diarrhea",Pulmonary edema
"Bloating,Diarrhea",Colon cancer
"Bloating,Diarrhea",Inflammation of the rectum
"Bloating,Diarrhea",Viral gastroenteritis
"Bloating,Diarrhea",Migraine
"Bloating,Diarrhea,Stomach pain",Common cold
"Bloating,Diarrhea,Stomach pain",Idiopathic pulmonary fibrosis
"Bloating,Diarrhea,Stomach pain",Viral gastroenteritis
"Bloating,Diarrhea,Stomach pain",Pneumonia
"Bloating,Diarrhea,Stomach pain",Indigestion
"Bloating,Diarrhea,Stomach pain",Acute bacterial sinusitis
"Bloating,Diarrhea,Stomach pain",Pulmonary embolism
"Bloating,Diarrhea,Stomach pain",Broken collarbone
"Bloating,Diarrhea,Stomach pain",Chronic sinusitis
"Bloating,Diarrhea,Stomach pain",Chronic obstructive pulmonary disease
"Bloating,Diarrhea,Stomach pain",Hay fever
"Bloating,Diarrhea,Stomach pain",Benign paroxysmal positional vertigo
"Bloating,Diarrhea,Stomach pain",Colon cancer
"Bloating,Diarrhea,Stomach pain",Asthma
"Bloating,Diarrhea,Stomach pain",Bacterial gastroenteritis
"Bloating,Diarrhea,Stomach pain,Vomiting",Pulmonary embolism
"Bloating,Diarrhea,Stomach pain,Vomiting",Viral gastroenteritis
"Bloating,Diarrhea,Stomach pain,Vomiting",Blunt stomach trauma
"Bloating,Diarrhea,Stomach pain,Vomiting",Bacterial gastroenteritis
"Bloating,Diarrhea,Stomach pain,Vomiting",Nasal polyps
"Bloating,Diarrhea,Stomach pain,Vomiting",Chronic sinusitis
"Bloating,Diarrhea,Stomach pain,Vomiting",Antibiotic associated diarrhea
"Bloating,Diarrhea,Stomach pain,Vomiting",Common cold
"Bloating,Diarrhea,Stomach pain,Vomiting",Chronic obstructive pulmonary disease
"Bloating,Diarrhea,Stomach pain,Vomiting",Subarachnoid intracranial hemorrhage
"Bloating,Diarrhea,Stomach pain,Vomiting",Pulmonary edema
"Bloating,Diarrhea,Stomach pain,Vomiting",Tension-type headaches
"Bloating,Diarrhea,Stomach pain,Vomiting",Gastritis
"Bloating,Diarrhea,Stomach pain,Vomiting",Severe allergic reaction
"Bloating,Diarrhea,Vomiting",Asthma exacerbation
"Bloating,Diarrhea,Vomiting",Chronic constipation
"Bloating,Diarrhea,Vomiting",Hemorrhagic stroke
"Bloating,Diarrhea,Vomiting",Broken thoracic spine
"Bloating,Diarrhea,Vomiting",Hay fever
"Bloating,Diarrhea,Vomiting",Benign paroxysmal positional vertigo
"Bloating,Diarrhea,Vomiting",Pulmonary embolism
"Bloating,Diarrhea,Vomiting",Acute viral sinusitis
"Bloating,Diarrhea,Vomiting",Bacterial gastroenteritis
"Bloating,Diarrhea,Vomiting",Migraine
"Bloating,Diarrhea,Vomiting",Viral gastroenteritis
"Bloating,Diarrhea,Vomiting",Cardiac tamponade
"Bloating,Diarrhea,Vomiting",COVID-19
"Bloating,Diarrhea,Vomiting",Asthma
"Bloating,Diarrhea,Vomiting",Pneumonia
"Bloating,Diarrhea,Vomiting",Middle ear infection
"Bloating,Diarrhea,Vomiting,Stomach pain",Heart attack
"Bloating,Diarrhea,Vomiting,Stomach pain",Pneumonia
"Bloating,Diarrhea,Vomiting,Stomach pain",Gastritis
"Bloating,Diarrhea,Vomiting,Stomach pain",Asthma exacerbation
"Bloating,Diarrhea,Vomiting,Stomach pain",Food poisoning
"Bloating,Diarrhea,Vomiting,Stomach pain",Giardiasis
"Bloating,Diarrhea,Vomiting,Stomach pain",Benign paroxysmal positional vertigo
"Bloating,Diarrhea,Vomiting,Stomach pain",Acute viral sinusitis
"Bloating,Diarrhea,Vomiting,Stomach pain",Viral gastroenteritis
"Bloating,Diarrhea,Vomiting,Stomach pain",Crohn's disease flare-up
"Bloating,Diarrhea,Vomiting,Stomach pain",Chronic sinusitis
"Bloating,Diarrhea,Vomiting,Stomach pain",Penetrating stomach trauma
"Bloating,Stomach pain",Migraine
"Bloating,Stomach pain",Broken collarbone
"Bloating,Stomach pain",Lactose intolerance
"Bloating,Stomach pain",Antibiotic associated diarrhea
"Bloating,Stomach pain",Asthma exacerbation
"Bloating,Stomach pain",Irritable bowel syndrome
"Bloating,Stomach pain",Pulmonary embolism
"Bloating,Stomach pain",Viral gastroenteritis
"Bloating,Stomach pain",Acute bacterial sinusitis
"Bloating,Stomach pain",Pulmonary edema
"Bloating,Stomach pain",Atypical pneumonia
"Bloating,Stomach pain",Bacterial gastroenteritis
"Bloating,Stomach pain",Acute viral sinusitis
"Bloating,Stomach pain",Gastritis
"Bloating,Stomach pain",Food poisoning
"Bloating,Stomach pain",COVID-19
"Bloating,Stomach pain",Ulcerative colitis flare-up
"Bloating,Stomach pain",Heart attack
"Bloating,Stomach pain",Asthma
"Bloating,Stomach pain",Acute bronchitis
"Bloating,Stomach pain",Common cold
"Bloating,Stomach pain",Hay fever
"Bloating,Stomach pain,Diarrhea",Viral gastroenteritis
"Bloating,Stomach pain,Diarrhea",Bacterial gastroenteritis
"Bloating,Stomach pain,Diarrhea",Hay fever
"Bloating,Stomach pain,Diarrhea",Costochondritis
"Bloating,Stomach pain,Diarrhea",Pneumonia
"Bloating,Stomach pain,Diarrhea",M ni re's disease
"Bloating,Stomach pain,Diarrhea",Lactose intolerance
"Bloating,Stomach pain,Diarrhea",Threatened miscarriage
"Bloating,Stomach pain,Diarrhea",Reflex syncope
"Bloating,Stomach pain,Diarrhea",Acute heart failure
"Bloating,Stomach pain,Diarrhea",Acute viral sinusitis
"Bloating,Stomach pain,Diarrhea",Nasal polyps
"Bloating,Stomach pain,Diarrhea",Asthma exacerbation
"Bloating,Stomach pain,Diarrhea",Penetrating stomach trauma
"Bloating,Stomach pain,Diarrhea",Irritable bowel syndrome
"Bloating,Stomach pain,Diarrhea",Pulmonary hypertension
"Bloating,Stomach pain,Diarrhea",Gastritis
"Bloating,Stomach pain,Diarrhea,Vomiting",Viral gastroenteritis
"Bloating,Stomach pain,Diarrhea,Vomiting",Indigestion
"Bloating,Stomach pain,Diarrhea,Vomiting",Chronic sinusitis
"Bloating,Stomach pain,Diarrhea,Vomiting",Bacterial gastroenteritis
"Bloating,Stomach pain,Diarrhea,Vomiting",Common cold
"Bloating,Stomach pain,Diarrhea,Vomiting",Crohn's disease flare-up
"Bloating,Stomach pain,Diarrhea,Vomiting",Pulmonary embolism
"Bloating,Stomach pain,Diarrhea,Vomiting",Hay fever
"Bloating,Stomach pain,Diarrhea,Vomiting",Migraine
"Bloating,Stomach pain,Diarrhea,Vomiting",Heart attack
"Bloating,Stomach pain,Diarrhea,Vomiting",Acute bacterial sinusitis
"Bloating,Stomach pain,Diarrhea,Vomiting",Asthma
"Bloating,Stomach pain,Diarrhea,Vomiting",Chronic obstructive pulmonary disease
"Bloating,Stomach pain,Diarrhea,Vomiting",Acute viral sinusitis
"Bloating,Stomach pain,Vomiting",Viral gastroenteritis
"Bloating,Stomach pain,Vomiting",Asthma
"Bloating,Stomach pain,Vomiting",Pulmonary embolism
"Bloating,Stomach pain,Vomiting",Gastritis
"Bloating,Stomach pain,Vomiting",Chronic obstructive pulmonary disease
"Bloating,Stomach pain,Vomiting",Whiplash injury
"Bloating,Stomach pain,Vomiting",Crohn's disease flare-up
"Bloating,Stomach pain,Vomiting",COVID-19
"Bloating,Stomach pain,Vomiting",Bacterial gastroenteritis
"Bloating,Stomach pain,Vomiting",High blood pressure
"Bloating,Stomach pain,Vomiting",Arrhythmia with fast heart rate
"Bloating,Stomach pain,Vomiting",Acute bronchitis
"Bloating,Stomach pain,Vomiting",Indigestion
"Bloating,Stomach pain,Vomiting,Diarrhea",Irritable bowel syndrome
"Bloating,Stomach pain,Vomiting,Diarrhea",Acute viral sinusitis
"Bloating,Stomach pain,Vomiting,Diarrhea",Chronic obstructive pulmonary disease exacerbation
"Bloating,Stomach pain,Vomiting,Diarrhea",COVID-19
"Bloating,Stomach pain,Vomiting,Diarrhea",Nonallergic rhinitis
"Bloating,Stomach pain,Vomiting,Diarrhea",Pulmonary edema
"Bloating,Stomach pain,Vomiting,Diarrhea",Celiac disease
"Bloating,Stomach pain,Vomiting,Diarrhea",Reflex syncope
"Bloating,Stomach pain,Vomiting,Diarrhea",Hay fever
"Bloating,Stomach pain,Vomiting,Diarrhea",Pulmonary embolism
"Bloating,Stomach pain,Vomiting,Diarrhea",Major wound
"Bloating,Stomach pain,Vomiting,Diarrhea",Viral gastroenteritis
"Bloating,Stomach pain,Vomiting,Diarrhea",Wound separation
"Bloating,Stomach pain,Vomiting,Diarrhea",Severe allergic reaction
"Bloating,Stomach pain,Vomiting,Diarrhea",Pneumonia
"Bloating,Stomach pain,Vomiting,Diarrhea",Lactose intolerance
"Bloating,Stomach pain,Vomiting,Diarrhea",Chronic sinusitis
"Bloating,Vomiting",Minor wound
"Bloating,Vomiting",Bacterial gastroenteritis
"Bloating,Vomiting",Nonallergic rhinitis
"Bloating,Vomiting",Pulmonary embolism
"Bloating,Vomiting",Chronic obstructive pulmonary disease
"Bloating,Vomiting",Colon cancer
"Bloating,Vomiting",Chronic sinusitis
"Bloating,Vomiting",Hay fever
"Bloating,Vomiting",Irritable bowel syndrome
"Bloating,Vomiting",Crohn's disease flare-up
"Bloating,Vomiting",Asthma
"Bloating,Vomiting",Chronic obstructive pulmonary disease exacerbation
"Bloating,Vomiting",Acute viral sinusitis
"Bloating,Vomiting",Common cold
"Bloating,Vomiting",Lactose intolerance
"Bloating,Vomiting",Tension-type headaches
"Bloating,Vomiting",Acute bronchitis
"Bloating,Vomiting",Pulmonary edema
"Bloating,Vomiting",Gastritis
"Bloating,Vomiting",Asthma exacerbation
"Bloating,Vomiting",Severe allergic reaction
"Bloating,Vomiting",Viral gastroenteritis
"Bloating,Vomiting",Diabetic ketoacidosis
"Bloating,Vomiting,Diarrhea",Hay fever
"Bloating,Vomiting,Diarrhea",Severe allergic reaction
