symptomes,disease
"Paralysis,Headache",Alcohol poisoning
"Paralysis,Headache",Celiac disease
"Paralysis,Headache",Asthma exacerbation
"Paralysis,Headache",Broken calf bones
"Paralysis,Headache",Dementia
"Paralysis,Headache",Diabetes mellitus type 2
Shortness of breath,Pyelonephritis
Shortness of breath,COVID-19
Shortness of breath,Chronic sinusitis
Shortness of breath,High blood pressure
Shortness of breath,Brain abscess
Shortness of breath,Acute bronchitis
Shortness of breath,M ni re's disease
Shortness of breath,Dehydration
Shortness of breath,Acute viral sinusitis
Shortness of breath,Nasal polyps
Shortness of breath,Chronic obstructive pulmonary disease exacerbation
Shortness of breath,Asthma
Shortness of breath,Viral gastroenteritis
Shortness of breath,Asthma exacerbation
Shortness of breath,Hay fever
Shortness of breath,Benign paroxysmal positional vertigo
Shortness of breath,Pulmonary embolism
Shortness of breath,Heart attack
Shortness of breath,Food poisoning
Shortness of breath,Pertussis
Shortness of breath,Pulmonary edema
Shortness of breath,Lactose intolerance
Shortness of breath,Concussion
Shortness of breath,Physical injury of unknown location
Shortness of breath,Pneumonia
Shortness of breath,Mild hypoglycemia
Shortness of breath,Zollinger-Ellison syndrome
Shortness of breath,Small intestinal bacterial overgrowth
Shortness of breath,Colon cancer
Shortness of breath,Acute bacterial sinusitis
Shortness of breath,Antibiotic associated diarrhea
Shortness of breath,Burn
Shortness of breath,Indigestion
Shortness of breath,Common cold
Shortness of breath,Gastritis
Shortness of breath,Broken rib
Shortness of breath,Tension-type headaches
Shortness of breath,Severe allergic reaction
Shortness of breath,Crohn's disease flare-up
Shortness of breath,Specific phobia
Shortness of breath,Cholera
Shortness of breath,Severe hypoglycemia
Shortness of breath,Prerenal acute renal failure
Shortness of breath,Giardiasis
Shortness of breath,Atypical pneumonia
Shortness of breath,Migraine
Shortness of breath,Chronic obstructive pulmonary disease
Shortness of breath,Irritable bowel syndrome
Shortness of breath,Bacterial gastroenteritis
Shortness of breath,Premature separation of placenta
Shortness of breath,Broken calf bones
Shortness of breath,Chronic constipation
Shortness of breath,Arrhythmia with fast heart rate
Shortness of breath,Reflex syncope
Shortness of breath,Ulcerative colitis flare-up
"Shortness of breath,Cough",Burn
"Shortness of breath,Cough",COVID-19
"Shortness of breath,Cough",Chest contusion
"Shortness of breath,Cough",Viral gastroenteritis
"Shortness of breath,Cough",Diabetic ketoacidosis
"Shortness of breath,Cough",Bacterial gastroenteritis
"Shortness of breath,Cough",Hay fever
"Shortness of breath,Cough",Clostridium difficile-associated disease
"Shortness of breath,Cough",Chronic obstructive pulmonary disease
"Shortness of breath,Cough",Broken calf bones
"Shortness of breath,Cough",Encephalitis
"Shortness of breath,Cough",Reflex syncope
"Shortness of breath,Cough",Acute viral sinusitis
"Shortness of breath,Cough",Lactose intolerance
"Shortness of breath,Cough",Nasal polyps
"Shortness of breath,Cough",Costochondritis
"Shortness of breath,Cough",Crohn's disease flare-up
"Shortness of breath,Cough",Antibiotic associated diarrhea
"Shortness of breath,Cough",Labour
"Shortness of breath,Cough",Food allergy
"Shortness of breath,Cough",Benign paroxysmal positional vertigo
"Shortness of breath,Cough",Acute bronchitis
"Shortness of breath,Cough",Premenstrual syndrome
"Shortness of breath,Cough",Asthma exacerbation
"Shortness of breath,Cough",Irritable bowel syndrome
"Shortness of breath,Cough",Bulimia
"Shortness of breath,Cough",Severe allergic reaction
"Shortness of breath,Cough",Asthma
"Shortness of breath,Cough",Heart attack
"Shortness of breath,Cough",Migraine
"Shortness of breath,Cough",Electrical injury
"Shortness of breath,Cough",Middle ear infection
"Shortness of breath,Cough",Pneumonia
"Shortness of breath,Cough",Pulmonary edema
"Shortness of breath,Cough",Pulmonary embolism
"Shortness of breath,Cough",Pneumothorax
"Shortness of breath,Cough",Tension-type headaches
"Shortness of breath,Cough",High blood pressure
"Shortness of breath,Cough",Common cold
"Shortness of breath,Cough",Post-COVID-19 syndrome
"Shortness of breath,Cough",Gastritis
"Shortness of breath,Cough",Ulcerative colitis flare-up
"Shortness of breath,Cough",Chronic sinusitis
