symptomes,disease
Headache,Malaria
Headache,Ischemic stroke
Headache,Chronic obstructive pulmonary disease
Headache,Asthma
Headache,Rift Valley fever
Headache,Antibiotic associated diarrhea
Headache,Dehydration
Headache,Costochondritis
Headache,Severe hypoglycemia
Headache,Heavy metal poisoning
Headache,Severe arrhythmia with slow heart rate
Headache,Lactose intolerance
Headache,Chronic obstructive pulmonary disease exacerbation
Headache,Heart attack
Headache,Viral gastroenteritis
Headache,Atypical pneumonia
Headache,COVID-19
Headache,Hay fever
Headache,Acute bacterial sinusitis
Headache,Nonallergic rhinitis
Headache,Acute viral sinusitis
Headache,Irritable bowel syndrome
Headache,Bacterial gastroenteritis
Headache,Common cold
Headache,Acute viral pharyngitis
Headache,Peptic ulcer disease
Headache,Crohn's disease flare-up
Headache,Indigestion
Headache,Severe arrhythmia with fast heart rate
Headache,Bacterial meningitis
Headache,Burn
Headache,Broken calf bones
Headache,Benign paroxysmal positional vertigo
Headache,Biventricular heart failure
Headache,Colon cancer
Headache,Middle ear infection
Headache,Subarachnoid intracranial hemorrhage
Headache,Migraine
Headache,Tension-type headaches
Headache,Asthma exacerbation
Headache,Heart valve disease
Headache,Sepsis
Headache,Gastritis
Headache,Broken rib
Headache,Reflex syncope
Headache,Severe allergic reaction
Headache,Nasal polyps
Headache,Clostridium difficile-associated disease
"Headache,Cough",Ischemic stroke
"Headache,Cough",Asthma exacerbation
"Headache,Cough",Intercostal neuralgia
"Headache,Cough",Teeth grinding
"Headache,Cough",Chronic sinusitis
"Headache,Cough",Common cold
"Headache,Cough",M ni re's disease
"Headache,Cough",Bacterial gastroenteritis
"Headache,Cough",Viral gastroenteritis
"Headache,Cough",Whiplash injury
"Headache,Cough",Migraine
"Headache,Cough",Psoriatic arthritis
"Headache,Cough",Abdominal aortic aneurysm
"Headache,Cough",Acute viral sinusitis
"Headache,Cough",Reflex syncope
"Headache,Cough",Pulmonary embolism
"Headache,Cough",Cholestasis
"Headache,Cough",Psoriasis
"Headache,Cough",Temporomandibular joint disorders
"Headache,Cough",Asthma
"Headache,Cough",Crohn's disease flare-up
"Headache,Cough",Atypical pneumonia
"Headache,Cough",Diabetic ketoacidosis
"Headache,Cough",Severe allergic reaction
"Headache,Cough",Irritable bowel syndrome
"Headache,Cough",Colon cancer
"Headache,Cough",Vaginal thrush
"Headache,Cough",Gout
"Headache,Cough",Depression
"Headache,Cough",Open-angle glaucoma
"Headache,Cough",Knee osteoarthritis
"Headache,Cough",Arrhythmia with fast heart rate
"Headache,Cough",Bone infection
"Headache,Cough",Ankylosing spondylitis
"Headache,Cough",Unspecific abdominal pain
"Headache,Cough",Heart attack
"Headache,Cough",Physical injury of unknown location
"Headache,Cough",Benign prostatic hyperplasia
"Headache,Cough",COVID-19
"Headache,Cough",Prinzmetal's angina
"Headache,Cough",Diabetic kidney disease
"Headache,Cough",Pink eye
"Headache,Cough",Pneumonia
"Headache,Cough",Rotator cuff syndrome
"Headache,Cough",Degenerative disc disease of the lumbar and sacral spine
"Headache,Cough",Acute viral pharyngitis
"Headache,Cough",Costochondritis
"Headache,Cough",Balanoposthitis
"Headache,Cough",Familial nonhemolytic jaundice
"Headache,Cough",Broken calf bones
"Headache,Cough",Mononucleosis
"Headache,Cough",Rocky Mountain spotted fever
"Headache,Cough",Diabetes mellitus type 2
"Headache,Cough",Dehydration
"Headache,Cough",Amebiasis
"Headache,Cough",Prostatitis
"Headache,Cough",Acute streptococcal pharyngitis
"Headache,Cough",Acute bacterial sinusitis
