,id,name,common_name,sex_filter,category,seriousness
0,s_1558,Abdominal guarding,Abdominal guarding,both,Signs and symptoms,emergency
1,s_299,Abdominal mass,Lump in stomach,both,Signs and symptoms,normal
2,s_13,Abdominal pain,Stomach pain,both,Signs and symptoms,normal
3,s_1598,"Abdominal pain, below belly button",Lower stomach pain,both,Signs and symptoms,normal
4,s_1802,"Abdominal pain, burning or gnawing",Burning or gnawing stomach pain,both,Signs and symptoms,normal
5,s_1848,"Abdominal pain, colicky",Colic stomach pain,both,Signs and symptoms,normal
6,s_1860,"Abdominal pain, crampy",Crampy stomach pain,both,Signs and symptoms,normal
7,s_1557,"Abdominal pain, diffuse",Widespread stomach pain,both,Signs and symptoms,normal
8,s_1387,"Abdominal pain, epigastric",Upper central stomach pain,both,Signs and symptoms,normal
9,s_1207,"Abdominal pain, exacerbating after caffeine consumption",Stomach pain worsening after caffeine consumption,both,Signs and symptoms,normal
10,s_15,"Abdominal pain, exacerbating during coughing or movement",Stomach pain worsens when coughing or moving,both,Signs and symptoms,normal
11,s_1202,"Abdominal pain, exacerbating during deep breath",Stomach pain worsens with deep breath,both,Signs and symptoms,normal
12,s_14,"Abdominal pain, exacerbating on an empty stomach",Stomach pain on empty stomach,both,Signs and symptoms,normal
13,s_1844,"Abdominal pain, gradual onset",Slow and gradual stomach pain,both,Signs and symptoms,normal
14,s_1852,"Abdominal pain, lasting 2 to 7 days",Stomach pain lasting 2 to 7 days,both,Signs and symptoms,normal
15,s_1853,"Abdominal pain, lasting 8 to 14 days",Stomach pain lasting 8 to 14 days,both,Signs and symptoms,normal
16,s_1840,"Abdominal pain, lasting less than 2 days",Stomach pain lasting less than 2 days,both,Signs and symptoms,normal
17,s_1842,"Abdominal pain, lasting more than 2 weeks",Stomach pain lasting more than 2 weeks,both,Signs and symptoms,normal
18,s_1729,"Abdominal pain, left lower quadrant",Lower left side stomach pain,both,Signs and symptoms,normal
19,s_1854,"Abdominal pain, left side",Left side stomach pain,both,Signs and symptoms,normal
