id,name,common_name,sex_filter,category,seriousness
p_144,Abdominal injury,Recent abdominal injury,both,Risk factors,normal
p_330,Absent COVID-19 vaccination,Absent COVID-19 vaccination,both,Risk factors,normal
p_145,Acceleration-deceleration injury,Whiplash injury,both,Risk factors,serious
p_155,Animal bite,Animal bite,both,Risk factors,serious
p_243,Ankle injury,Ankle injury,both,Risk factors,normal
p_174,Anticoagulant use,Blood thinner use,both,Risk factors,normal
p_254,Arm injury,Arm injury,both,Risk factors,normal
p_173,Atherosclerosis,Atherosclerosis,both,Risk factors,normal
p_81,Atmospheric pressure changes,Activities related to sudden pressure or altitude changes,both,Risk factors,normal
p_146,Back injury,Back injury,both,Risk factors,normal
p_79,Bacterial tonsillitis,Bacterial tonsillitis,both,Risk factors,normal
p_359,Booster shot of COVID-19 vaccination,Booster shot of COVID-19 vaccination,both,Risk factors,normal
p_281,Breastfeeding,Breastfeeding,female,Risk factors,normal
p_69,"Cannabis, marijuana smoking","Cannabis, marijuana smoking",both,Risk factors,normal
p_40,Carbon monoxide exposure,Carbon monoxide exposure,both,Risk factors,serious
p_136,Chest injury,Chest injury,both,Risk factors,normal
p_220,Chronic NSAIDs use,Long-term use of non-steroidal anti-inflammatory drugs,both,Risk factors,normal
p_38,Chronic heavy alcohol use,Chronic heavy alcohol use,both,Risk factors,normal
p_283,Circumcision,Circumcision,male,Risk factors,normal
p_83,Compromised immune system,Weakened immune system,both,Risk factors,normal
p_380,Consumption of foods or drinks that cause bloating,Consumption of foods or drinks that cause bloating,both,Risk factors,normal
p_303,Consumption of fruits or vegetables contaminated with animal feces,Consumption of fruits or vegetables contaminated with animal feces,both,Risk factors,normal
p_63,Consumption of raw or undercooked meat,Consuming raw or undercooked meats,both,Risk factors,normal
p_139,Contact lenses,Contact lenses,both,Risk factors,normal
p_82,Contact with allergen,Contact with allergen,both,Risk factors,normal
p_122,Contact with animals,Contact with animals,both,Risk factors,normal
p_100,"Contact with animals, cat",Contact with cats,both,Risk factors,normal
p_36,Contact with herbicides,Contact with weed killers,both,Risk factors,serious
p_41,Contact with insecticides,Contact with chemicals meant to kill insects,both,Risk factors,normal
p_99,"Contact with sick person, chickenpox",Contact with chickenpox,both,Risk factors,normal
p_188,Dental trauma,Tooth injury,both,Risk factors,normal
p_93,Diagnosed Crohn's disease,Diagnosed Crohn's disease,both,Risk factors,normal
p_182,Diagnosed aortic aneurysm,Diagnosed aortic aneurysm,both,Risk factors,serious
p_167,Diagnosed asthma,Diagnosed asthma,both,Risk factors,normal
p_342,Diagnosed atrial fibrillation,Diagnosed atrial fibrillation,both,Risk factors,normal
p_164,Diagnosed chronic obstructive pulmonary disease,Diagnosed chronic obstructive pulmonary disease,both,Risk factors,normal
p_306,Diagnosed concussion,Diagnosed concussion,both,Risk factors,normal
p_78,Diagnosed coronary disease,Diagnosed coronary disease,both,Risk factors,normal
p_8,Diagnosed diabetes,Diagnosed diabetes,both,Risk factors,normal
